year,turn,count,r1,r2,r3,r4,r5,r6,b
7,119,23,03,08,11,13,25,31,12
7,139,22,06,10,12,14,16,22,06
7,148,59,03,09,16,17,23,28,07
8,10,26,03,08,11,17,21,27,09
9,28,41,03,06,12,15,23,26,10
9,38,20,12,13,15,23,28,32,05
9,40,21,04,07,10,20,26,30,12
9,74,28,05,10,16,19,23,28,13
9,76,29,09,18,19,25,28,31,06
9,93,21,01,11,20,31,32,33,01
9,118,93,12,16,25,26,27,31,05
9,129,20,06,07,16,17,24,25,07
9,143,22,05,09,11,17,23,28,10
10,13,25,01,02,03,16,18,23,12
10,20,20,05,06,14,22,24,26,09
10,32,35,08,18,21,28,29,33,08
10,85,25,01,08,12,13,24,27,08
10,92,55,03,13,19,27,28,30,02
10,105,24,01,08,09,19,21,31,11
10,116,54,05,09,10,20,22,26,07
10,127,58,01,04,08,17,25,33,01
10,135,23,04,10,13,25,26,30,10
10,148,36,01,03,07,18,23,27,12
10,149,25,02,07,08,16,25,30,09
11,30,20,02,09,19,24,25,33,10
11,43,75,04,13,14,17,25,31,04
11,61,20,02,03,08,13,19,21,03
11,86,113,06,07,09,12,17,24,09
11,104,24,09,10,16,20,25,29,09
11,107,36,04,09,16,17,22,29,15
11,116,20,01,07,11,12,17,27,05
12,3,26,03,06,08,24,29,31,09
12,14,59,01,02,05,16,28,30,12
12,17,26,06,09,14,19,25,28,10
12,24,24,04,12,19,21,25,28,13
12,68,117,05,17,22,26,32,33,10
12,75,23,04,06,22,23,29,32,11
12,81,22,02,05,10,24,25,29,06
12,104,20,04,05,09,10,19,28,03
12,112,34,08,15,20,21,27,31,06
12,119,50,12,20,25,26,27,28,13
12,125,20,08,12,13,26,29,33,01
12,131,21,06,18,19,26,28,32,12
12,136,37,02,07,08,17,21,28,11
12,141,27,03,05,08,19,20,27,09
12,144,25,03,10,12,13,27,30,04
12,148,64,03,06,11,17,21,31,07
12,152,36,10,12,18,22,28,29,07
13,1,20,06,08,14,15,24,25,06
13,14,20,02,04,05,17,19,20,08
13,25,27,16,17,18,24,25,30,08
13,33,44,05,06,13,17,19,28,01
13,48,37,10,13,17,28,30,32,04
13,51,33,08,12,15,19,28,29,02
13,61,43,05,06,07,12,13,18,12
13,69,105,07,16,17,18,30,33,06
13,77,31,09,14,23,24,26,29,03
13,90,46,02,05,11,23,24,29,08
13,91,22,04,14,24,25,28,31,10
13,98,28,07,15,18,19,20,26,14
13,111,22,01,02,03,06,08,33,13
13,120,47,05,06,13,18,23,31,11
13,132,25,20,21,22,23,25,27,12
13,137,27,04,17,19,23,24,27,10
13,139,25,07,08,11,13,21,27,08
13,141,25,03,04,05,25,30,31,04
13,151,45,03,09,10,19,28,33,09
13,152,28,04,06,14,16,18,29,05
14,6,70,03,04,07,17,21,27,14
14,17,24,04,06,07,14,25,26,10
14,24,24,08,10,16,20,23,30,09
14,34,20,01,03,04,08,25,31,06
14,36,30,01,07,08,09,11,22,03
14,45,22,02,04,09,11,19,22,15
14,58,38,02,03,12,13,14,25,11
14,62,58,06,09,15,24,25,26,09
14,70,25,01,07,09,19,28,29,07
14,71,34,02,04,12,17,22,25,14
14,75,24,03,09,11,22,27,29,06
14,93,23,02,08,09,10,20,29,05
14,115,107,01,09,10,11,13,32,03
14,120,23,01,07,12,16,23,28,04
14,123,31,01,06,11,17,28,33,05
14,126,28,06,11,16,17,22,27,01
14,137,27,03,06,09,11,25,29,09
14,141,22,08,09,11,16,21,24,10
