year,turn,r1,r2,r3,r4,r5,r6,b
3,1,10,11,12,13,26,28,11
3,2,04,09,19,20,21,26,12
3,3,01,07,10,23,28,32,16
3,4,04,06,07,10,13,25,03
3,5,04,06,15,17,30,31,16
3,6,01,03,10,21,26,27,06
3,7,01,09,19,21,23,26,07
3,8,05,08,09,14,17,23,08
3,9,05,09,18,20,22,30,09
3,10,01,02,08,13,17,24,13
3,11,04,05,11,12,30,32,15
3,12,02,12,16,17,27,30,12
3,13,08,13,17,21,23,32,12
3,14,03,05,07,08,21,31,02
3,15,04,11,19,25,26,32,13
3,16,11,17,28,30,31,33,06
3,17,05,08,18,23,25,31,06
3,18,05,16,19,20,25,28,13
3,19,04,08,12,13,16,33,09
3,20,07,10,25,26,27,32,04
3,21,14,15,18,25,26,30,01
3,22,02,07,11,12,14,32,08
3,23,01,10,20,22,26,31,02
3,24,02,07,15,17,22,30,14
3,25,01,05,11,13,14,27,12
3,26,08,13,15,26,29,31,16
3,27,01,11,14,17,27,28,15
3,28,06,13,16,20,28,32,07
3,29,02,07,15,26,29,32,10
3,30,02,06,13,14,23,27,07
3,31,11,17,20,22,28,32,01
3,32,04,11,25,27,29,30,13
3,33,01,07,14,20,27,30,10
3,34,08,13,14,16,23,25,14
3,35,03,04,05,08,10,11,08
3,36,07,21,24,25,27,28,15
3,37,09,14,17,18,26,32,07
3,38,05,07,08,24,25,27,16
3,39,03,05,23,24,27,32,03
3,40,04,05,06,12,14,23,16
3,41,02,03,17,18,24,25,11
3,42,03,05,07,10,15,20,07
3,43,02,08,10,19,20,32,13
3,44,02,05,09,16,32,33,15
3,45,03,07,14,15,17,32,03
3,46,07,08,10,11,17,26,11
3,47,03,17,26,28,32,33,16
3,48,10,12,20,28,30,31,09
3,49,03,06,07,13,24,25,15
3,50,02,08,17,23,24,26,13
3,51,04,13,15,17,24,27,01
3,52,01,12,13,23,30,31,11
3,53,15,19,20,21,28,29,13
3,54,02,05,09,21,31,33,12
3,55,06,13,16,21,28,31,16
3,56,08,17,21,26,28,29,07
3,57,18,19,24,25,30,31,16
3,58,09,11,16,28,32,33,02
3,59,02,03,05,06,18,30,04
3,60,02,04,06,17,21,28,11
3,61,03,05,20,21,28,32,02
3,62,01,06,12,19,20,32,14
3,63,05,08,09,14,21,33,11
3,64,04,06,08,12,15,30,01
3,65,06,15,16,17,30,33,11
3,66,03,07,08,20,24,32,14
3,67,05,11,12,13,27,31,10
3,68,09,19,25,27,32,33,11
3,69,07,11,16,19,26,28,11
3,70,01,02,04,17,18,19,08
3,71,09,11,12,14,15,33,11
3,72,03,06,08,11,19,27,11
3,73,02,12,14,21,23,30,13
3,74,02,12,19,22,27,32,01
3,75,16,17,19,22,31,33,11
3,76,01,13,16,18,20,29,02
3,77,04,12,16,22,24,25,06
3,78,07,12,23,26,29,30,11
3,79,12,15,22,23,26,31,04
3,80,09,20,24,25,28,30,10
3,81,01,02,14,26,29,30,07
3,82,07,17,18,19,30,31,14
3,83,01,03,14,18,26,28,01
3,84,02,06,07,10,17,33,03
3,85,01,04,11,12,19,27,14
3,86,05,12,16,18,26,30,13
3,87,02,03,04,05,24,28,13
3,88,03,10,21,22,24,33,12
3,89,18,19,21,26,27,33,16
4,1,01,02,03,07,10,25,07
4,2,10,12,18,22,30,31,11
4,3,03,05,06,17,26,33,08
4,4,10,19,22,23,25,29,09
4,5,09,11,13,16,17,18,07
4,6,04,12,18,20,23,32,06
4,7,04,12,17,20,25,28,09
4,8,01,07,10,22,32,33,13
4,9,01,09,10,16,22,24,11
4,10,06,07,08,13,14,19,15
4,11,01,04,13,23,28,30,03
4,12,01,07,27,30,31,33,08
4,13,12,14,21,29,30,32,13
4,14,03,07,11,17,20,26,12
4,15,01,03,05,18,22,23,13
4,16,04,07,08,28,30,32,05
4,17,05,12,14,15,25,31,09
4,18,02,05,06,08,28,30,06
4,19,05,10,11,23,24,32,04
4,20,01,02,09,22,28,31,04
4,21,05,09,11,17,26,27,10
4,22,03,10,14,19,20,30,06
4,23,01,08,14,17,19,30,03
4,24,01,13,21,23,25,32,06
4,25,07,08,10,24,29,33,04
4,26,04,10,14,18,28,32,15
4,27,01,05,09,10,18,32,11
4,28,01,02,03,05,10,22,12
4,29,09,13,20,22,24,32,05
4,30,01,07,09,17,26,31,05
4,31,03,06,19,20,21,24,11
4,32,02,05,08,11,15,31,13
4,33,01,04,08,09,19,20,01
4,34,02,07,13,20,27,30,14
4,35,02,08,26,27,30,32,16
4,36,02,13,17,18,26,30,01
4,37,03,04,11,17,20,26,05
4,38,11,16,17,25,28,29,07
4,39,10,16,18,25,26,29,03
4,40,07,17,19,20,21,29,11
4,41,08,10,17,22,25,29,14
4,42,06,10,13,17,18,21,02
4,43,04,09,10,21,22,24,10
4,44,02,06,07,12,31,32,05
4,45,01,12,18,26,27,28,13
4,46,07,15,16,22,23,32,14
4,47,01,07,08,11,27,31,06
4,48,08,09,11,16,17,29,09
4,49,11,12,14,16,25,29,09
4,50,06,07,19,21,25,29,02
4,51,02,03,09,10,15,29,11
4,52,01,12,14,15,17,29,09
4,53,02,03,04,09,24,25,02
4,54,09,11,14,16,27,28,11
4,55,06,08,19,25,29,32,07
4,56,01,20,21,25,29,30,02
4,57,05,21,23,25,28,32,04
4,58,01,08,11,12,27,31,12
4,59,04,07,11,19,23,26,10
4,60,03,05,11,24,27,28,15
4,61,13,16,19,20,23,33,09
4,62,01,12,25,27,28,29,13
4,63,07,10,13,16,27,28,07
4,64,14,15,18,20,27,31,04
4,65,13,14,27,29,32,33,08
4,66,05,13,20,23,24,25,03
4,67,01,06,07,13,16,32,04
4,68,02,08,11,13,24,31,15
4,69,02,11,15,20,22,29,05
4,70,10,12,21,22,30,33,06
4,71,03,08,16,17,21,29,06
4,72,08,15,18,28,30,33,14
4,73,02,07,13,16,23,28,16
4,74,05,06,15,19,26,29,13
4,75,07,18,21,26,27,28,07
4,76,03,05,13,17,25,31,07
4,77,08,09,10,14,16,26,07
4,78,04,05,10,21,24,26,05
4,79,07,13,14,17,19,30,03
4,80,03,08,20,23,24,26,16
4,81,03,05,21,24,27,32,06
4,82,03,20,24,27,29,30,15
4,83,14,16,27,28,30,33,06
4,84,01,04,08,11,21,25,14
4,85,03,08,11,29,30,32,01
4,86,10,13,18,19,25,27,01
4,87,01,03,07,08,25,26,14
4,88,02,10,19,22,24,32,14
4,89,14,17,20,25,28,30,14
4,90,01,18,20,24,32,33,12
4,91,09,13,14,21,30,33,01
4,92,01,04,08,13,28,31,02
4,93,11,14,20,27,32,33,05
4,94,05,09,10,13,24,25,08
4,95,19,22,27,28,30,32,01
4,96,01,04,12,16,20,30,15
4,97,10,19,20,26,29,31,14
4,98,03,12,13,25,26,31,03
4,99,05,10,21,22,26,33,02
4,100,06,08,09,14,24,33,15
4,101,02,09,14,19,25,26,15
4,102,03,09,12,15,28,32,01
4,103,02,03,05,09,16,21,02
4,104,07,11,17,18,24,29,05
4,105,07,09,10,21,23,30,12
4,106,10,15,23,26,28,29,12
4,107,01,08,12,13,18,20,07
4,108,08,13,14,27,28,31,12
4,109,06,08,10,17,30,31,14
4,110,14,19,20,21,22,31,11
4,111,11,16,18,20,26,31,02
4,112,09,13,15,21,26,33,06
4,113,08,10,23,25,31,32,07
4,114,01,06,09,17,21,22,01
4,115,02,16,20,30,31,33,01
4,116,01,03,05,08,14,33,03
4,117,01,03,07,14,24,25,07
4,118,03,04,07,12,30,31,15
4,119,06,09,18,20,25,33,06
4,120,07,08,18,21,27,32,10
4,121,07,13,16,18,30,32,10
4,122,03,11,14,22,24,31,15
5,1,01,07,08,23,27,28,14
5,2,06,09,20,26,28,33,14
5,3,09,12,15,19,22,31,16
5,4,01,04,08,09,22,23,03
5,5,05,09,20,26,28,33,15
5,6,02,04,05,15,21,31,16
5,7,07,15,17,20,23,33,15
5,8,11,19,22,27,32,33,11
5,9,02,17,22,27,29,31,14
5,10,08,10,11,18,25,26,01
5,11,09,11,13,15,22,30,15
5,12,02,03,06,16,22,31,05
5,13,07,08,16,19,20,24,06
5,14,13,19,21,23,30,32,05
5,15,04,08,09,16,17,29,15
5,16,01,05,06,12,16,30,15
5,17,02,06,10,25,27,31,03
5,18,01,03,06,22,23,25,06
5,19,06,11,12,13,19,22,08
5,20,14,16,19,20,25,29,05
5,21,02,06,24,26,30,31,16
